id,product_name,product_price,product_category,product_desc,product_subcat
256,Adjustable Skipping Rope,12.99,Fitness,Durable skipping rope with adjustable length for workouts.,Cardio Equipment
257,Chili Beans in Sauce,1.79,Food - Canned Goods,Canned beans cooked in a savory chili sauce,Canned Legumes
258,Tailored Blazer,99.99,Clothing - Outerwear,Sharp tailored blazer perfect for office wear and professional events.,Jackets
259,Wall Planner,19.99,Office,Large wall planner for organizing schedules.,Organizational Tools
260,Almond Flour Pancake Mix,5.99,Food - Baking,Gluten-free pancake mix made with almond flour.,Mixes
261,Pet Grooming Scissors,16.99,Pets,Quality scissors designed for easy pet grooming.,Grooming Supplies
262,Vegetarian Pizza,5.49,Food - Frozen Foods,Frozen pizza loaded with vegetables and cheese.,Frozen Vegetarian Meals
263,Travel Beach Blanket,29.99,Outdoor,Sand-resistant and compact for outdoor and beach use.,Outdoor Accessories
264,Insulated Lunch Bag,24.99,Kitchen,Stylish insulated lunch bag for on-the-go meals.,Food Storage Solutions
265,Portable Pet Stroller,89.99,Pets,Convenient stroller for pets to enjoy outdoor walks.,Pet Accessories
266,Legging Pants,34.99,Clothing - Activewear,Comfortable and stretchy legging pants perfect for workouts or daily wear.,Leggings
267,Classic Vanilla Fudge,4.49,Food - Desserts,"Creamy vanilla fudge, a sweet treat for all occasions.",Chocolate Desserts
268,Recipe Book Stand,22.99,Kitchen,Stylish stand to hold your recipes while cooking.,Kitchen Accessories
269,Quinoa & Black Bean Salad,7.49,Food - Salads,A nutritious salad with quinoa and black beans,Healthy Salads
270,Outdoor Fire Pit,149.99,Outdoor,Portable fire pit for backyard gatherings.,Outdoor Accessories
271,Oven-Baked Parmesan Zucchini,4.99,Food - Frozen Vegetables,"Frozen zucchini slices coated in parmesan cheese, perfect for baking or frying.",Frozen Veggie Snacks
272,Smart Water Bottle with Hydration Reminder,39.99,Fitness,Bottle that tracks your water intake and reminds you to drink.,Health & Wellness Tools
273,Trackpad for Laptop,49.99,Accessories,Wireless trackpad for enhanced laptop navigation.,Tech Accessories
274,Handmade Leather Journal,39.99,Books,Beautiful leather-bound journal for writing and sketching.,Journals
275,Magnetic Curtain Tiebacks,12.99,Home,Easy-to-use tiebacks for curtains or drapes.,Home Decor
276,Portable UV Sterilizer,19.99,Health,Compact sterilizer for disinfecting small items.,Health Devices
277,Brown Sugar,1.79,Food - Baking,"Raw brown sugar, perfect for baking or sweetening drinks.",Sweeteners
278,Sweet Corn Fritters,4.49,Food - Frozen,Golden-brown fritters made with sweet corn.,Frozen Appetizers
279,Leek and Potato Soup,3.29,Food - Soups,Savory soup made with leeks and potatoes.,Vegetarian Soups
280,Tomato Sauce,2.79,Food - Canned Goods,Rich and flavorful tomato sauce for pasta or pizza.,Sauces & Condiments
281,Silicone Baking Mats,19.99,Kitchen,Reusable silicone mats for non-stick baking.,Baking Accessories
282,Electric Can Opener,29.99,Kitchen,Automatic can opener for easy meal prep.,Kitchen Gadget
283,Pistachio Ice Cream,4.99,Food - Frozen Desserts,Creamy pistachio-flavored ice cream with real nuts.,Gourmet Ice Cream
284,Scent Diffuser Oil,14.99,Home,Essential oil blends for a soothing atmosphere in your home.,Home Fragrance & Accessories
285,Smartphone Photography Ring Light,29.99,Photography,Portable ring light that enhances your photos with perfect lighting.,Lighting Equipment
286,Classic Cheeseburger Mix,5.49,Food - Meats,"All-in-one mix for easy homemade cheeseburgers, just add ground beef.",Ground Meats
287,Cotton Pajama Set,49.99,Clothing - Loungewear,Soft cotton pajama set for cozy nights in.,Sleepwear
288,Bamboo Cotton Tank Top,22.99,Clothing - Tops,"Sustainable tank top made of bamboo cotton, offering breathability and comfort.",Sustainable Fashion
289,Pet Leash,15.99,Pets,Durable pet leash with comfortable handle.,Pet Accessories
290,Electric Hot Pot,49.99,Kitchen,Compact electric pot for hot pot dining at home.,Cookware
291,Vegetable Pizza Rolls,6.49,Food - Frozen Foods,"Frozen pizza rolls filled with vegetables and cheese, perfect for snacks.",Frozen Snacks
292,Skincare Fridge,39.99,Beauty,Small fridge designed to keep skincare products cool and fresh.,Skincare
293,Silicone Wine Glasses,22.99,Outdoor,Durable and shatterproof silicone glasses for outdoor use.,Outdoor Accessories
294,Mini Indoor Herb Garden Kit,24.99,Garden,All-in-one kit for growing herbs in your kitchen.,Indoor Gardening Kits
295,Handmade Soap Making Kit,34.99,Crafts,Complete kit for crafting your own scented soaps.,Candle & Soap Making Supplies
296,Ethically-Sourced Coffee Beans,9.99,Food - Beverages,Freshly roasted coffee beans with rich flavor.,Coffee
297,Vegetable Spiralizer,19.99,Kitchen,Create spiraled vegetable noodles easily for healthy meals.,Food Preparation Tools
298,Kale Salad with Lemon Dressing,4.99,Food - Salads,"Fresh kale salad with a zesty lemon dressing, great as a side dish.",Vegetarian Salads
299,Beef Stroganoff Mix,5.49,Food - Meal Kits,Everything you need to create a hearty beef stroganoff.,Pasta & Rice Mixes
300,Teriyaki Chicken Bowl,6.49,Food - Prepared Meals,Ready-to-eat chicken bowl with teriyaki sauce and rice.,Cuisine - Asian
301,Zucchini,0.79,Food - Produce,"Fresh zucchini, versatile for grilling or sautéing.",Vegetables
302,Smart Fitness Scale,49.99,Fitness,Bluetooth scale that tracks body composition through an app.,Health Monitoring Devices
303,Portable Folding Picnic Table,69.99,Outdoor,Easy-to-set-up picnic table for outdoor dining.,Outdoor Accessories
304,Whipped Cream Cheese,2.99,Food - Dairy,"Light and fluffy cream cheese, perfect for bagels or cooking.",Dairy Spreads
305,Fitness Tracker Watch,79.99,Wearable Tech,Water-resistant activity tracker and smartwatch features.,Smartwatches
306,Balsamic Salad Dressing,2.99,Food - Deli,"Tangy and sweet balsamic dressing, perfect for salads.",Dips/Spreads
307,Blue Corn Tortilla Chips,3.49,Food - Snacks,"Crunchy chips made from blue corn, perfect for dipping.",Tortilla Chips
308,Honey Sesame Chicken Mix,8.99,Food - Frozen Meals,A meal kit featuring tender chicken with honey sesame sauce.,Frozen Asian Meals
309,Sculpting Kit,25.99,Art Supplies,Complete sculpting tools for artists.,Sculpting Supplies
310,Mechanical Keyboard,99.99,Computers,High-performance mechanical keyboard with customizable RGB.,Input Devices
311,Peach Green Tea,3.49,Food - Beverages,"Refreshing green tea infused with peach, perfect for a hot day.",Tea
312,Wireless Wi-Fi Extender,49.99,Electronics,Boosts your Wi-Fi coverage for better connectivity.,Networking Equipment
313,Balsamic Fig Dressing,3.79,Food - Condiments,"A sweet and tangy dressing made with figs and balsamic vinegar, great on salads.",Dressing
314,Adjustable Window Blind,49.99,Home,Customizable window cover for light control and privacy.,Home Decor
315,Pasta Primavera Kit,7.49,Food - Meal Kits,Quick meal kit with pasta and fresh vegetables.,Vegetarian Meal Kits
316,Chocolate Fudge Brownie Mix,2.99,Food - Baking,Just add water for delicious brownies.,Mixes
317,Portable Phone Charger,29.99,Accessories,High-capacity power bank for charging devices on the go.,Mobile Accessories
318,Pet Tracking Collar,59.99,Pets,GPS pet collar that helps locate your pet via smartphone app.,Pet Accessories
319,Rechargeable Hand Warmer,22.99,Accessories,Portable rechargeable warmer for cold days.,Personal Care
320,Lemon Herb Grilled Chicken,9.99,Food - Meat,Tender grilled chicken marinated in lemon herbs.,Marinated Poultry
321,Peanut Butter Cookies,3.49,Food - Bakery,Soft and chewy cookies made with creamy peanut butter.,Cookies
322,Bamboo Toothbrush Holder,14.99,Health,Eco-friendly bamboo holder for toothbrushes.,Oral Care & Hygiene
323,Portable Solar Generator,399.99,Outdoor,Eco-friendly generator for outdoor adventures.,Outdoor Accessories
324,Cinnamon Rolls,4.49,Food - Bakery,"Sweet and gooey cinnamon rolls, ready to bake.",Pastries
325,Portable Camping Shower,39.99,Outdoor,Convenient shower system for camping and outdoor activities.,Camping Equipment
326,Organic Apples,1.89,Food - Produce,Crisp and delicious organic apples.,Fruits
327,Herb Seasoned Couscous,2.49,Food - Grains,"Fluffy couscous seasoned with a blend of herbs, perfect as a side dish.",Flavored Couscous
328,Foam Building Blocks for Kids,22.99,Toys,Soft foam blocks perfect for building and imaginative play.,Building Toys
329,Smartphone Tripod,29.99,Photography,Adjustable tripod for smartphones and cameras.,Tripods & Accessories
330,Chickpeas,1.29,Food - Canned Goods,"Canned chickpeas, perfect for hummus or salads.",Canned Legumes
331,Chili Powder,2.09,Food - Spices,Spicy chili powder to add heat to dishes.,Seasoning Blends
332,Maple Almond Yogurt,1.89,Food - Dairy,Creamy yogurt made with maple and almond flavors.,Flavored Yogurt
333,Peach Mango Smoothie Mix,5.99,Food - Beverages,A blend of peach and mango for a tropical smoothie.,Smoothies
334,Watering Can with Nozzle,19.99,Garden,Stylish watering can for plants with easy pouring nozzle.,Garden Tools
335,Fall-Themed Table Runner,19.99,Home,Decorative table runner perfect for autumn gatherings.,Seasonal Home Decor
336,Non-Stick Grill Mat,19.99,Outdoor,Reusable mat that prevents food from sticking to the grill.,Grilling Accessories
337,Memory Foam Mattress Topper,109.99,Home,3-inch memory foam mattress topper for added comfort.,Bedding & Linens
338,Organic Green Lentils,3.99,Food - Grocery,"Nutty flavored lentils, perfect for soups and salads.",Legumes
339,Bamboo Utensil Holder,14.99,Kitchen,Stylish holder for organizing cooking utensils.,Kitchen Storage & Organization
340,Zucchini Noodles,3.99,Food - Vegetables,"Spiralized zucchini, a healthy alternative to pasta.",Pasta Alternatives
341,Garlic Parmesan Roasted Nuts,4.89,Food - Nuts,"Savory, roasted nuts seasoned with garlic and parmesan.",Savory Nuts
342,Outdoor Adventure Kit,89.99,Outdoor,Complete outdoor kit for camping and hiking.,Camping Equipment
343,Chia Seed Pudding,3.99,Food - Snacks,"Nutritious chia seed pudding in vanilla flavor, ready to eat.",Healthy Snacks
344,Greek Yogurt Parfait,4.49,Food - Dairy,"Layered Greek yogurt with granola and mixed berries, ready to enjoy.",Yogurt
345,Kids' Outdoor Explorer Kit,24.99,Toys,Fun kit for aspiring explorers with binoculars and a compass.,Outdoor Play Toys
346,Fruit and Nut Medley,5.99,Food - Snacks,A healthy mix of assorted dried fruits and nuts for snacking.,Nuts and Trail Mix
347,Wireless Wi-Fi Extender,49.99,Electronics,Boosts your Wi-Fi coverage for better connectivity.,Networking Equipment
348,Vegan Protein Powder,34.99,Health,Plant-based protein powder for post-workout recovery.,Fitness & Nutrition
349,Compact Pop-Up Tent,69.99,Outdoor,Easy setup tent perfect for camping and outdoor festivals.,Camping Equipment
350,Low-Fat Cottage Cheese,2.99,Food - Dairy,"Creamy cottage cheese, perfect for healthy snacking.",Cottage Cheese
351,Crispy Tofu Bites,4.99,Food - Protein,"Crispy on the outside, tender on the inside, perfect for stir-fries or salads.",Protein Snacks
352,Pepperoni Pizza Rolls,6.99,Food - Snacks,"Savory pizza rolls filled with pepperoni and cheese, ready to bake and enjoy in minutes.",Savory Snacks
353,Chipotle Black Bean Salad,3.29,Food - Salads,"A zesty salad with black beans, corn, and chipotle dressing.",Bean Salads
354,Chunky Knit Sweater,59.99,Clothing - Tops,Cozy oversized sweater perfect for chilly days with a textured knit design.,Sweaters
355,Multi-Purpose Plant Care Tool,24.99,Garden,"All-in-one tool for measuring soil moisture, light, and pH.",Garden Tools
356,Pasta Primavera,4.99,Food - Frozen Foods,Frozen vegetable primavera for quick meals.,Frozen Pasta Dishes
357,Insulated Coffee Mug,24.99,Kitchen,Double-walled mug to keep your drink hot for longer.,Drinkware
358,Beef Stroganoff Meal Kit,12.99,Food - Frozen Meals,Complete meal kit with everything needed to make beef stroganoff in under 30 minutes.,Frozen Dinner Kits
359,Smartphone Projector,29.99,Electronics,DIY projector that magnifies your smartphone screen for movie nights.,Portable Projectors
360,Organic Coconut Water,2.79,Food - Beverages,Refreshing coconut water packed with electrolytes for hydration.,Natural Beverages
361,Almond Flour Bread Mix,4.89,Food - Baking,Gluten-free bread mix made with almond flour.,Mixes
362,Reclining Camping Chair,49.99,Outdoor,Foldable reclining camping chair with cup holder.,Camping Equipment
363,Portable Hammock with Stand,69.99,Outdoor,Lightweight hammock with a sturdy stand for relaxation anywhere.,Camping Equipment
364,Ice Pack,8.99,Health,Reusable gel ice pack for injuries and cooling.,Wellness & Relaxation
365,Outdoor Portable Fire Pit,149.99,Outdoor,Compact fire pit for campfires and gatherings.,Outdoor Accessories
366,Magnetic Phone Case,19.99,Accessories,Stylish case with magnetic closure for smartphones.,Mobile Accessories
367,Foot Massager,79.99,Health,Electric foot massager with heat settings.,Wellness & Relaxation
368,Portable Camping Shower,39.99,Outdoor,Convenient shower system for camping and outdoor activities.,Camping Equipment
369,Salsa,3.49,Food - Condiments,"Fresh and zesty salsa, perfect for nachos.",Salsas & Dips
370,Cranberry Almond Biscotti,4.19,Food - Bakery,Crispy and delicious biscotti flavored with cranberry and almond.,Cookies
371,LED Camping Lantern with USB Charging,34.99,Outdoor,Rechargeable lantern with multiple brightness settings for outdoors.,Camping Equipment
372,Jigsaw Puzzle,14.99,Toys,500-piece jigsaw puzzle featuring beautiful scenery.,Puzzles
373,Granola,4.79,Food - Breakfast,Crunchy and flavorful mix of oats and honey.,Breakfast Cereals
374,Vegan Protein Powder,34.99,Health,Plant-based protein powder for post-workout recovery.,Fitness & Nutrition
375,Garlic Butter Shrimp,8.99,Food - Seafood,"Frozen shrimp sautéed in garlic butter, ready to thaw and serve over pasta or rice.",Frozen Seafood
376,Sliced Ham,5.49,Food - Meat,"Delicious and fully cooked sliced ham, ready to eat.",Processed Meats
377,Electric Stool Heater,29.99,Home,Heated stool cover for extra comfort during winter.,Home Appliances
378,Heavy Duty Gardening Tool Set,49.99,Garden,Comprehensive tool set for gardening enthusiasts.,Garden Tools
379,Toilet Paper (12 rolls),8.99,Food - Household,Soft and strong toilet paper for everyday use.,Household Supplies
380,Raisin Cinnamon Granola,3.79,Food - Cereals,Crunchy granola with raisins and cinnamon for a delightful breakfast.,Granola
381,Miso Soup Starter,2.99,Food - Soups,Miso paste for making traditional Japanese miso soup.,Specialty Soups
382,Balsamic Vinaigrette,2.69,Food - Dressings,Rich and tangy dressing perfect for salads.,Dressings
383,Honey Glazed Carrots,3.49,Food - Produce,"Sweet and savory carrots glazed in honey, perfect as a side dish.",Prepared Vegetables
384,Camping Chair,29.99,Outdoor,Portable folding camping chair with cup holder.,Outdoor Furniture
385,Heart-Shaped Baking Molds,10.99,Kitchen,Love-themed molds for creating desserts and treats.,Cookware
386,Spicy Vegetable Sushi Rolls,8.49,Food - Prepared Foods,Vegan sushi filled with spicy vegetables and avocado.,Vegetarian Meals
387,Peach Slices (canned),2.49,Food - Canned Goods,"Juicy peach slices in syrup, perfect for desserts.",Canned Fruits
388,Graphic Print Leggings,29.99,Clothing - Activewear,"Trendy leggings with a unique graphic print, versatile for workouts and casual wear.",Leggings
389,Lemon Basil Pasta Sauce,4.99,Food - Sauces,A tangy sauce that combines lemon zest and basil for a refreshing flavor.,Pasta Sauces
390,Sooji (Semolina),1.99,Food - Baking,"Fine semolina flour, perfect for pasta and desserts.",Baking Ingredients
391,Self-Stirring Mug,19.99,Kitchen,Automated stirring for your drinks with just a press of a button.,Drinkware
392,Chino Shorts,34.99,Clothing - Bottoms,Classic chino shorts in a versatile color for summer adventures.,Bottoms
393,Hydration Backpack,39.99,Outdoor,Lightweight backpack with an insulated water reservoir for hydration on the go.,Outdoor Accessories
394,Chocolate Peanut Butter Cups,2.29,Food - Snacks,Delicious dark chocolate cups filled with creamy peanut butter.,Candy
395,Spicy Beef Taco Mix,1.99,Food - Condiments,Easy mix for making spicy beef tacos.,Seasoning Blends
396,Carrot Ginger Soup,4.29,Food - Soups,"Smooth soup made from carrots and ginger, great for cold days.",Vegetarian Soups
397,Kids' Art Easel,58.99,Toys,Double-sided art easel for painting and drawing.,Creative Toys
398,Stylish Combat Boots,99.99,Clothing - Shoes,Bold combat boots that make a statement with any outfit.,Footwear - Boots
399,Glass Tea Pot,34.99,Kitchen,Elegant glass teapot for brewing loose tea.,Coffee Equipment
400,Lightweight Backpacking Tent,129.99,Outdoor,Easy-to-set up tent designed for campers and hikers.,Camping Equipment
401,Portable Ice Maker,199.99,Kitchen,Compact ice maker for creating ice at home or in offices.,Small Appliances
402,Peanut Butter Chocolate Chip Bars,4.59,Food - Snacks,Chewy bars made with peanut butter and chocolate chips.,Healthy Snacks
403,Insulated Cooler,39.99,Outdoor,Leak-proof cooler bag ideal for picnics and camping.,Camping Equipment
404,Outdoor Portable Fire Pit,149.99,Outdoor,Compact fire pit for campfires and gatherings.,Outdoor Accessories
405,Wall Art Stickers,19.99,Home,Removable wall art stickers for home decoration.,Decorative Wall Art & Accessories
406,Mixed Berry Smoothie Pack,5.99,Food - Frozen Food,"Frozen berries blend perfect for smoothies, just add yogurt.",Frozen Fruits
407,Whole Wheat Bread,2.49,Food - Bakery,"Freshly baked whole wheat bread, rich in fiber.",Breads
408,Fishing Tackle Box,24.99,Outdoor,Organized tackle box for fishing gear.,Fishing Equipment
409,Bluetooth Tracker,19.99,Accessories,Smart tracker to locate keys or other items via app.,Tech Accessories
410,Insulated Sport Tumbler,22.99,Fitness,Vacuum-insulated tumbler for beverages on the go.,Hydration Gear
411,Canned Coconut Milk,1.89,Food - Canned Goods,"Rich coconut milk, great for cooking and baking.",Coconut Products
412,Almond Flour Bread Mix,4.89,Food - Baking,Gluten-free bread mix made with almond flour.,Mixes
413,Zucchini,0.79,Food - Produce,"Fresh zucchini, versatile for grilling or sautéing.",Vegetables
414,Pest Control Traps,22.99,Home,Non-toxic traps for catching household pests safely.,Home Organization
415,Waterproof Rain Boots,69.99,Clothing - Footwear,Stay dry with these stylish waterproof rain boots.,Rain Footwear
416,Chocolate Fudge Brownie Mix,2.99,Food - Baking,Just add water for delicious brownies.,Mixes
417,Mixed Nuts,5.99,Food - Snacks,"A blend of assorted nuts, perfect for snacking or adding to recipes.",Nuts and Trail Mix
418,Eco-Friendly Disposable Plates,22.99,Kitchen,Compostable plates suitable for various occasions.,Sustainable Tableware
419,Salsa,3.49,Food - Condiments,"Fresh and zesty salsa, perfect for nachos.",Salsas & Dips
420,Summer Tank Dress,39.99,Clothing - Dresses,"A lightweight tank dress, ideal for warm weather outings.",Casual Dresses
421,Chocolate Almond Milk,2.79,Food - Dairy Alternatives,Rich and creamy almond milk with a hint of chocolate.,Plant-Based Beverages
422,Ice Cream,5.99,Food - Frozen Foods,"Rich and creamy ice cream, available in various flavors.",Frozen Desserts
423,Insulated Sport Tumbler,22.99,Fitness,Vacuum-insulated tumbler for beverages on the go.,Hydration Gear
424,Children's Backpack,29.99,Accessories,Stylish and functional backpack for school or trips.,Kids' Bags
425,Hair Dryer,39.99,Beauty,Compact hair dryer with multiple heat settings.,Hair Care Tools
426,Compact Refrigerator,199.99,Home Appliances,Mini refrigerator ideal for small spaces.,Refrigerators
427,Window Bird Feeder,19.99,Outdoor,Suction cup bird feeder for close-up bird watching.,Outdoor Accessories
428,Outdoor Camping Hammock,29.99,Outdoor,Lightweight and durable hammock for relaxing in nature.,Camping Equipment
429,Solar String Lights,29.99,Outdoor,Eco-friendly string lights for outdoor decor.,Outdoor Accessories
430,Denim Jacket,69.99,Clothing - Outerwear,A classic denim jacket that never goes out of style.,Jackets
431,Chicken Parmesan Dinner Kit,14.99,Food - Frozen Meals,"A complete meal kit containing breaded chicken breast, marinara sauce, and pasta, perfect for a quick dinner.",Frozen Italian Meal Kits
432,Pressure Washer Accessories Kit,39.99,Home Improvement,Essential attachments for pressure washing.,Outdoor Cleaning
433,Tandoori Chicken Marinade,2.49,Food - Condiments,Delicious and tangy marinade for grilling or baking chicken.,Marinades and Sauces
434,Cauliflower Pizza Crust,5.99,Food - Frozen Foods,Healthy pizza crust made from cauliflower,Frozen Pizza Crusts
435,Children's Backpack,29.99,Accessories,Stylish and functional backpack for school or trips.,Kids' Bags
436,Low-Fat Cottage Cheese,2.99,Food - Dairy,"Creamy cottage cheese, perfect for healthy snacking.",Cottage Cheese
437,Olive Oil,7.99,Food - Condiments,"Extra virgin olive oil, ideal for cooking and salads.",Cooking Oils
438,Cabbage,1.29,Food - Produce,"Fresh green cabbage, great for salads and slaws.",Vegetables
439,Tailored Blazer,99.99,Clothing - Outerwear,Sharp tailored blazer perfect for office wear and professional events.,Jackets
440,Floral Wrap Top,49.99,Clothing - Tops,A feminine wrap top with a beautiful floral print.,Women's Tops
441,Electric Griddle with Removable Plates,59.99,Kitchen,Non-stick surface for easy cooking and cleaning.,Cooking Appliances
442,Chipotle Lime Salsa,3.99,Food - Condiments,Spicy salsa with chipotle and lime for a zesty kick.,Salsas
443,Coconut Curry Chicken,9.99,Food - Frozen Foods,"Tender chicken cooked in a rich coconut curry sauce, ready to heat and serve.",Frozen Meals
444,Denim Jacket,69.99,Clothing - Outerwear,A classic denim jacket that never goes out of style.,Jackets
445,Chia Seeds,6.99,Food - Grains,"Nutty flavored chia seeds, packed with nutrients.",Superfoods
446,Digital Drawing Tablet,79.99,Art Supplies,Tablet for digital drawing and illustration work.,Digital Art Supplies
447,Pineapple Chunks (canned),2.29,Food - Fruits,Sweet pineapple chunks in syrup.,Canned Fruits
448,Collapsible Pet Dog Bowl,9.99,Pets,Travel-friendly dog bowl that is collapsible for easy storage.,Pet Accessories
449,Peanut Butter,3.79,Food - Condiments,"Creamy and smooth peanut butter, perfect for sandwiches.",Nut Butters
450,Halloween Decoration Set,29.99,Home,Fun decorations for Halloween to set a spooky atmosphere.,Seasonal Home Decor
451,Inspirational Wall Art,24.99,Home,Quote wall art to inspire and motivate.,Decorative Wall Art & Accessories
452,Dog Collar,15.99,Pets,Adjustable dog collar with personalized tags.,Dog Accessories
453,Whole Grain Cereal,3.49,Food - Breakfast,"Healthy whole grain cereal, great for breakfast.",Breakfast Cereals
454,Honey Mustard Dip,3.29,Food - Condiments,Sweet and tangy honey mustard dip for snacks.,Dips & Spreads
455,Slim Wallet,24.99,Accessories,RFID-blocking slim wallet for cards and cash.,Wallets
456,Spaghetti Sauce,2.99,Food - Canned Goods,"Rich spaghetti sauce, a perfect pasta sauce.",Sauces & Condiments
457,Balsamic Glaze,4.79,Food - Condiments,Sweet and tangy balsamic reduction for drizzling.,Sauces
458,Magnetic Phone Car Mount,14.99,Automotive,Strong magnetic holder for smartphones in cars.,Phone Accessories
459,Pumpkin Pancake Mix,4.19,Food - Breakfast,Easy-to-make pancake mix with pumpkin spice flavor.,Pancakes & Waffles
460,Nutty Trail Mix,4.29,Food - Snacks,"A blend of nuts, seeds, and dried fruits for snacking.",Healthy Snacks
461,Ice Cream Scoop,12.99,Kitchen,Durable scoop for perfectly shaped ice cream servings.,Kitchen Gadgets
462,Grapes (red),3.49,Food - Produce,"Fresh seedless red grapes, perfect for snacking.",Fruits
463,Pizza Stone,29.99,Kitchen,Ceramic pizza stone for homemade pizzas.,Baking Accessories
464,Multi-Functional Rice Cooker,49.99,Kitchen,Electric rice cooker with multiple cooking settings for perfect rice.,Small Appliances
465,LED Strip Lights with Remote Control,29.99,Home,Color-changing LED lights for home decoration with remote.,Lighting & Lamps
466,Outdoor Camping Hammock,29.99,Outdoor,Lightweight and durable hammock for relaxing in nature.,Camping Equipment
467,Blender Bottle,12.99,Fitness,Portable mixer bottle for smoothies and protein shakes.,Hydration Gear
468,Wooden Blocks,24.99,Toys,Classic wooden building blocks for toddlers.,Building Toys
469,Greek Feta Cheese,4.99,Food - Dairy,Creamy and crumbly cheese for salads and dishes.,Cheese
470,Yoga Blocks,29.99,Fitness,Set of two yoga blocks for increased stability and support.,Yoga Equipment
471,Coffee Grinder,39.99,Kitchen,Burr coffee grinder for fresh ground coffee.,Coffee Equipment
472,Portable Jump Starter,59.99,Automotive,Compact jump starter for emergency vehicle starts.,Automotive Accessories
473,Reusable Produce Bags Set,14.99,Kitchen,Eco-friendly mesh bags for shopping produce at the market.,Eco-Friendly Kitchen Products
474,Bluetooth Headphones,79.99,Audio,Noise-cancelling Bluetooth headphones for immersive sound.,Wireless Audio Accessories
475,Barbecue Chicken Pizza,8.99,Food - Frozen Foods,"Pizza topped with barbecue chicken, cheese, and red onions.",Frozen Pizza
476,Pasta (Linguine),1.89,Food - Pasta,"Thin, flat pasta perfect for various sauces.",Pasta
477,Sun Protection Clothing,44.99,Clothing,UV-blocking clothing for outdoor activities.,Outdoor Apparel
478,Herb Seasoned Couscous,2.49,Food - Grains,"Fluffy couscous seasoned with a blend of herbs, perfect as a side dish.",Flavored Couscous
479,Vegan Taco Seasoning,2.49,Food - Spices,Spice blend for creating flavorful vegan taco filling.,Plant-Based Seasonings
480,Banana Peanut Butter Smoothie,5.49,Food - Frozen Foods,Frozen smoothie mix with bananas and peanut butter for a quick drink.,Frozen Smoothies
481,Laptop Sleeve,24.99,Accessories,Padded laptop sleeve for protection against scratches.,Laptop Accessories
482,Honey,5.49,Food - Condiments,"Pure and natural honey, great for sweetening.",Natural Sweeteners
483,Portable Hammock with Stand,69.99,Outdoor,Lightweight hammock with a sturdy stand for relaxation anywhere.,Camping Equipment
484,Oversized Denim Shirt,49.99,Clothing - Shirts,A trendy oversized denim shirt perfect for layering.,Casual Shirts
485,Scented Candle Set,24.99,Home,Set of soothing scented candles for relaxation and ambiance.,Home Fragrance & Accessories
486,Portable Solar Generator,399.99,Outdoor,Eco-friendly generator for outdoor adventures.,Outdoor Accessories
487,Adjustable Pet Feeder,39.99,Pets,Convenient feeder that adjusts to your pet's height.,Pet Feeding Supplies
488,Travel Mug with Leak-Proof Lid,24.99,Kitchen,Stainless steel travel mug that keeps drinks hot or cold.,Drinkware
489,Wireless Music Receiver,19.99,Audio,Stream music from your device to any speaker wirelessly.,Audio Accessories
490,Sushi Rice,3.99,Food - Grains,Short-grain sushi rice for perfect rolls.,Specialty Rice
491,Toasted Coconut Granola,4.99,Food - Breakfast,"Crunchy granola with toasted coconut flakes, perfect for breakfast or snacks.",Granola/Cereal
492,Popcorn Chicken,6.49,Food - Frozen,"Crispy chicken bites, perfect for dipping.",Frozen Snacks
493,Tomato Basil Soup,3.49,Food - Canned Goods,"A classic soup combining tomatoes and basil, great with grilled cheese sandwiches.",Soups & Broths
494,Pet Hair Vacuum Attachment,14.99,Pets,Special attachment for vacuum cleaners to remove pet hair easily.,Grooming Supplies
495,Chocolate Coconut Granola,3.79,Food - Cereals,"Crunchy granola with chocolate and coconut, great for breakfast or snacks.",Granola
496,Garlic Naan Bread,3.99,Food - Bakery,"Soft and delicious garlic-infused flatbread, perfect for dipping.",Breads
497,Noise Reduction Headphones,39.99,Audio,Passive noise reduction headphones for focus.,Headphones & Earbuds
498,Mango Chunks,4.89,Food - Frozen Fruits,Frozen mango chunks for smoothies or snacking.,Frozen Fruits
499,Cocktail Shaker Set,29.99,Kitchen,"Bartender kit with shaker, jigger, and strainer.",Barware
500,Baby Safety Corner Guards,9.99,Baby,Soft corner protectors to keep babies safe at home.,Safety Equipment
501,Maple Glazed Carrots,3.29,Food - Prepared Foods,Tender carrots glazed with a sweet maple sauce.,Vegetable Sides
502,Screen Cleaning Kit,15.99,Electronics,Safe cleaning solution and tools for electronics screens.,Cleaning Supplies
503,Electric Ice Cream Maker,59.99,Kitchen,Make delicious ice cream at home with this user-friendly machine.,Cooking Appliances
504,Patterned Knit Scarf,25.99,Clothing - Accessories,Add a pop of color with this stylish patterned knit scarf.,Scarves
505,Wireless Gaming Headset,89.99,Gaming,Comfortable headset with surround sound for immersive gaming.,Gaming Accessories
506,Organic Granola Cereal,5.99,Food - Breakfast,Crunchy granola made with organic oats,Healthy Breakfast Options
507,Chocolate Chip Pancake Mix,3.99,Food - Bakery,Easy-to-make pancake mix with chocolate chips included.,Baking Mixes
508,Raspberry Vanilla Greek Yogurt,3.49,Food - Dairy,Creamy Greek yogurt infused with raspberry and vanilla flavors.,Flavored Yogurt
509,Toy Building Set,29.99,Toys,Creative building set for kids to spark imagination.,Building Toys
